City,Age,Salary,Eligible for bonus
RioDeJaneiro,,77489,
Seoul,34,91794,Yes
Istanbul,,71087,
Mumbai,32,135249,Yes
Sydney,,,
Berlin,49,43269,No
Berlin,68,112734,No
Chicago,,,
RioDeJaneiro,30,,
Cairo,55,35788,No
Singapore,45,92662,No
Singapore,47,,
Mumbai,20,79394,Yes
Tokyo,17,62171,Yes
LosAngeles,80,105620,No
Sydney,,34052,
Moscow,43,96542,No
Bangkok,31,31755,No
NewYork,41,102827,No
Berlin,,102008,
NewYork,37,43043,Yes
Tokyo,35,42683,Yes
Bangkok,19,96628,Yes
Seoul,31,75511,Yes
Chicago,25,115904,Yes
Seoul,,34371,
Chicago,36,94705,Yes
Singapore,27,71720,Yes
Toronto,16,32970,No
Paris,47,104656,No
Bangkok,23,93605,Yes
NewYork,27,65320,Yes
Cairo,35,67818,Yes
NewYork,31,39033,No
Istanbul,60,105957,No
Singapore,48,,
Chicago,56,35453,No
HongKong,,40203,
Berlin,37,98685,Yes
Sydney,46,64949,No
Singapore,51,61228,No
Paris,56,36649,No
Chicago,69,,
London,,,
Paris,39,80025,Yes
Moscow,,84043,
Seoul,16,37048,No
Toronto,68,82377,No
Toronto,59,105186,No
Paris,28,108296,Yes
Cairo,,40914,
Cairo,,112848,
HongKong,28,88809,Yes
Bangkok,48,58341,No
RioDeJaneiro,37,,
Moscow,81,73345,No
Bangkok,63,35538,No
HongKong,54,,
HongKong,20,105540,Yes
Tokyo,50,70894,No
RioDeJaneiro,56,,
Singapore,40,33237,No
Sydney,60,,
Chicago,,82778,
Chicago,19,93075,Yes
HongKong,36,52246,Yes
Mumbai,35,102797,Yes
Tokyo,45,69843,No
Istanbul,57,53829,No
RioDeJaneiro,63,105529,No
Paris,29,105208,Yes
Singapore,,105629,
Singapore,29,,
NewYork,56,,
Moscow,69,,
Chicago,,57072,
Moscow,18,103483,Yes
LosAngeles,50,34259,No
Bangkok,64,,
Moscow,16,89035,Yes
London,,110937,
LosAngeles,,,
Paris,,68045,
NewYork,19,,
Paris,65,58769,No
Moscow,,93169,
Paris,29,89503,Yes
Cairo,44,112251,No
Istanbul,,86411,
Cairo,35,,
Singapore,,53847,
Tokyo,41,95102,No
RioDeJaneiro,33,,
Chicago,51,115893,No
Mumbai,31,73072,Yes
Paris,46,105699,No
HongKong,46,107126,No
Toronto,19,93249,Yes
Cairo,52,104983,No
Delhi,24,,
Istanbul,53,,
Singapore,82,,
Paris,22,39703,No
Singapore,,114868,
HongKong,27,54448,Yes
Shanghai,43,46356,No
Toronto,74,,
Bangkok,,106871,
Toronto,23,56005,Yes
Istanbul,69,,
Cairo,38,43691,Yes
Shanghai,,154334,
Paris,29,55498,Yes
RioDeJaneiro,18,111364,Yes
Sydney,62,104025,No
Singapore,,31483,
Chicago,27,,
Chicago,53,66159,No
Mumbai,28,126355,Yes
Berlin,,54012,
Mumbai,41,,
Moscow,58,,
RioDeJaneiro,45,67104,No
Seoul,31,102347,Yes
RioDeJaneiro,48,,
Istanbul,45,48348,No
Istanbul,56,101254,No
NewYork,35,90295,Yes
Tokyo,54,50906,No
Mumbai,,106690,
RioDeJaneiro,31,103136,Yes
Seoul,29,116728,Yes
Cairo,59,37872,No
Mumbai,59,48139,No
RioDeJaneiro,,,
NewYork,38,49457,Yes
RioDeJaneiro,71,106482,No
HongKong,52,72540,No
Mumbai,,96399,
Paris,55,,
Berlin,59,,
Tokyo,66,,
Seoul,33,51132,Yes
RioDeJaneiro,42,111691,No
Sydney,,,
RioDeJaneiro,28,101999,Yes
LosAngeles,,77679,
NewYork,15,,
LosAngeles,71,103186,No
Cairo,69,,
Bangkok,42,44178,No
Singapore,58,105427,No
LosAngeles,20,121836,Yes
Seoul,60,,
LosAngeles,25,109338,Yes
Mumbai,33,114517,Yes
Tokyo,55,74031,No
Shanghai,52,119679,No
Chicago,69,59482,No
Paris,49,62056,No
Cairo,70,35794,No
London,62,,
Cairo,69,83145,No
RioDeJaneiro,,85349,
Tokyo,78,46606,No
Mumbai,17,110244,Yes
Berlin,65,52341,No
Delhi,,,
Delhi,66,,
HongKong,16,53116,Yes
NewYork,33,76162,Yes
HongKong,45,50950,No
Istanbul,54,67822,No
Mumbai,28,85184,Yes
Seoul,23,,
NewYork,21,,
Toronto,46,,
Berlin,,95344,
Chicago,24,73977,Yes
Moscow,,78622,
Mumbai,23,76850,Yes
Toronto,60,150762,No
Bangkok,,113233,
HongKong,21,107890,Yes
Cairo,64,117125,No
Singapore,21,83709,Yes
Seoul,,,
Singapore,,134896,
Cairo,58,,
Sydney,20,45603,Yes
NewYork,,,
Toronto,19,108914,Yes
London,43,30239,No
RioDeJaneiro,39,92964,Yes
Tokyo,51,,
Berlin,62,62440,No
RioDeJaneiro,59,,
Paris,31,56796,Yes
LosAngeles,63,33348,No
NewYork,24,38940,No
Tokyo,,113751,
Moscow,38,111643,Yes
Istanbul,,80238,
Delhi,26,35957,No
HongKong,,118708,
NewYork,47,97174,No
Toronto,59,44214,No
Shanghai,20,71490,Yes
RioDeJaneiro,28,56363,Yes
Sydney,48,105111,No
Shanghai,29,149814,Yes
Sydney,37,112038,Yes
Istanbul,,56467,
Singapore,49,60190,No
HongKong,54,91028,No
RioDeJaneiro,28,72106,Yes
Cairo,26,64599,Yes
Moscow,60,117523,No
LosAngeles,,49694,
Berlin,39,73361,Yes
Shanghai,53,90917,No
Moscow,,,
LosAngeles,56,51812,No
Seoul,35,45510,Yes
Delhi,,71608,
HongKong,33,31726,No
Chicago,56,57991,No
HongKong,16,118294,Yes
Mumbai,,93614,
Istanbul,23,117699,Yes
Delhi,34,,
LosAngeles,52,116622,No
Istanbul,56,112600,No
Mumbai,47,97507,No
RioDeJaneiro,34,37725,No
Seoul,28,116308,Yes
NewYork,55,,
Istanbul,,107789,
Moscow,,69844,
London,30,,
Toronto,25,37447,No
London,54,89685,No
Mumbai,41,,
Mumbai,73,89550,No
Seoul,69,47937,No
Sydney,33,,
Mumbai,,105544,
HongKong,,41001,
Singapore,59,85818,No
Sydney,56,115022,No
Moscow,17,108439,Yes
Shanghai,47,83838,No
Moscow,,117283,
Berlin,52,89851,No
Mumbai,21,101161,Yes
Tokyo,66,70847,No
Singapore,30,52892,Yes
Singapore,,,
Moscow,54,39811,No
Mumbai,63,,
Moscow,48,103962,No
Moscow,58,,
Mumbai,,30725,
LosAngeles,69,,
Delhi,,40955,
Cairo,64,81434,No
Sydney,48,104331,No
HongKong,55,41499,No
Singapore,19,31949,No
Moscow,62,80852,No
HongKong,25,79496,Yes
Chicago,,47232,
Mumbai,41,102844,No
RioDeJaneiro,,59567,
RioDeJaneiro,54,40594,No
Istanbul,66,,
Singapore,51,61779,No
Seoul,36,119263,Yes
Shanghai,,91379,
Toronto,32,142888,Yes
HongKong,54,,
Istanbul,45,97485,No
Bangkok,50,45987,No
Tokyo,,61534,
Paris,,50798,
Istanbul,66,67419,No
London,52,65668,No
Singapore,58,53699,No
London,47,113929,No
NewYork,,119976,
Moscow,28,39502,No
Paris,34,,
Seoul,47,82558,No
Bangkok,29,77945,Yes
HongKong,,96171,
Chicago,64,50535,No
Delhi,28,108347,Yes
Paris,43,47256,No
Paris,36,113614,Yes
Tokyo,35,,
NewYork,31,,
Mumbai,81,144733,No
LosAngeles,60,38203,No
HongKong,67,97069,No
Delhi,48,97461,No
LosAngeles,47,75880,No
Delhi,,136541,
Delhi,56,61090,No
Mumbai,,108498,
Singapore,62,84855,No
LosAngeles,42,87079,No
London,66,75819,No
Berlin,20,114539,Yes
Moscow,47,78734,No
Paris,47,30349,No
Berlin,52,97403,No
RioDeJaneiro,35,97854,Yes
Moscow,46,34694,No
RioDeJaneiro,62,30075,No
Cairo,63,82667,No
LosAngeles,82,43265,No
Seoul,41,111487,No
LosAngeles,67,33375,No
RioDeJaneiro,40,112195,No
Berlin,50,55352,No
Istanbul,56,,
Tokyo,44,100952,No
London,41,65620,No
Chicago,,45423,
RioDeJaneiro,26,51096,Yes
RioDeJaneiro,49,119804,No
Tokyo,44,36570,No
Bangkok,45,55440,No
Moscow,22,65877,Yes
Delhi,68,168333,No
Moscow,60,35873,No
London,,69739,
NewYork,,55170,
London,,99200,
Seoul,56,,
Sydney,28,42645,Yes
Toronto,18,81295,Yes
Toronto,46,,
Bangkok,26,67117,Yes
Istanbul,37,94962,Yes
Istanbul,16,104430,Yes
Chicago,24,103453,Yes
Paris,40,71554,No
Cairo,40,81626,No
Chicago,,,
Singapore,,,
Seoul,21,101486,Yes
Sydney,44,53888,No
London,64,75405,No
Bangkok,69,67584,No
Toronto,,72933,
Paris,34,,
LosAngeles,50,89398,No
Singapore,61,,
Shanghai,47,101855,No
Seoul,,34406,
Toronto,30,108090,Yes
Singapore,,56960,
Cairo,44,86151,No
Paris,43,,
RioDeJaneiro,42,97225,No
Moscow,55,,
Cairo,21,38584,No
Paris,19,106966,Yes
Delhi,60,78923,No
HongKong,18,82676,Yes
Delhi,19,52758,Yes
Tokyo,30,56720,Yes
Bangkok,,,
Mumbai,17,36778,No
Shanghai,16,68891,Yes
NewYork,69,,
RioDeJaneiro,16,42458,Yes
Delhi,32,109051,Yes
HongKong,50,82079,No
Seoul,44,74804,No
Paris,65,46865,No
Shanghai,38,91417,Yes
Chicago,26,48170,Yes
Toronto,42,84898,No
Delhi,62,64644,No
LosAngeles,,,
Shanghai,58,92451,No
RioDeJaneiro,,111836,
London,,32950,
Cairo,,46074,
Tokyo,39,83036,Yes
Sydney,28,82760,Yes
Chicago,36,,
Mumbai,66,88545,No
Shanghai,29,110035,Yes
Berlin,47,30895,No
Berlin,48,102040,No
London,,62565,
Paris,34,40300,Yes
RioDeJaneiro,35,63449,Yes
Mumbai,37,112768,Yes
Berlin,36,53895,Yes
LosAngeles,33,40745,Yes
Shanghai,37,39411,No
Delhi,67,117148,No
London,53,52596,No
Istanbul,,71102,
RioDeJaneiro,31,96665,Yes
Chicago,34,45379,Yes
RioDeJaneiro,,80226,
Tokyo,45,97101,No
Shanghai,36,65164,Yes
Seoul,62,57489,No
Berlin,,59198,
Toronto,,100761,
RioDeJaneiro,68,70054,No
RioDeJaneiro,36,80859,Yes
Tokyo,,114902,
LosAngeles,29,,
Cairo,,99749,
RioDeJaneiro,23,49960,Yes
Chicago,30,36149,No
Tokyo,17,67770,Yes
Delhi,40,86796,No
HongKong,60,89400,No
Berlin,,53542,
Delhi,22,31270,No
Singapore,,106295,
Moscow,,103193,
Moscow,63,,
Berlin,,,
Cairo,53,86585,No
Moscow,54,107894,No
Delhi,53,,
HongKong,26,145177,Yes
Sydney,82,115423,No
HongKong,28,,
Berlin,57,,
London,33,50637,Yes
Istanbul,,47565,
Singapore,,,
Istanbul,45,57135,No
Sydney,33,37816,No
LosAngeles,40,80871,No
Shanghai,,68007,
Chicago,44,63312,No
HongKong,20,,
Singapore,,116300,
Paris,67,,
Shanghai,,,
Seoul,43,85534,No
Cairo,52,,
Tokyo,70,100529,No
Seoul,47,53664,No
Singapore,,88317,
Bangkok,69,87073,No
Istanbul,59,50469,No
Delhi,25,64698,Yes
Istanbul,54,,
Berlin,45,35412,No
Moscow,35,81142,Yes
NewYork,68,,
Tokyo,55,116248,No
NewYork,17,41562,Yes
Tokyo,30,30856,No
Singapore,33,,
Chicago,55,107633,No
Berlin,,98262,
Bangkok,81,52751,No
Toronto,25,52855,Yes
Seoul,18,156175,Yes
NewYork,27,112960,Yes
Mumbai,67,,
LosAngeles,56,82193,No
Cairo,68,,
London,46,36611,No
Toronto,,109623,
London,39,,
Singapore,51,35997,No
HongKong,43,106988,No
Delhi,,113165,
Bangkok,83,64724,No
Cairo,61,,
London,49,54654,No
Toronto,45,33466,No
London,,113071,
HongKong,48,36101,No
Tokyo,61,75238,No
NewYork,50,31639,No
LosAngeles,50,98519,No
Istanbul,54,49749,No
Delhi,,,
Sydney,44,51896,No
Mumbai,20,117149,Yes
Sydney,53,,
Bangkok,,120722,
Toronto,41,95716,No
Seoul,23,56055,Yes
LosAngeles,43,61631,No
Tokyo,63,110473,No
Cairo,46,,
Delhi,45,51040,No
Singapore,39,92729,Yes
Shanghai,59,,
HongKong,65,36660,No
Bangkok,56,50250,No
Singapore,67,85666,No
Bangkok,17,67786,Yes
Sydney,29,,
Sydney,20,63310,Yes
HongKong,22,68138,Yes
RioDeJaneiro,36,42566,Yes
Istanbul,,51209,
Paris,22,101713,Yes
Chicago,31,,
Shanghai,60,39813,No
Berlin,57,46528,No
Istanbul,,111496,
Toronto,22,91586,Yes
Singapore,38,101318,Yes
Istanbul,31,,
Delhi,55,77720,No
LosAngeles,60,,
Sydney,,97631,
Paris,47,89663,No
Chicago,63,43915,No
LosAngeles,66,,
Chicago,,98446,
Bangkok,35,,
Seoul,42,82495,No
RioDeJaneiro,50,117776,No
Seoul,35,52212,Yes
Cairo,70,,
Moscow,62,65178,No
Mumbai,63,65672,No
Tokyo,24,40193,Yes
Paris,78,64177,No
Sydney,33,98348,Yes
Berlin,,43908,
Bangkok,,77778,
Shanghai,51,55064,No
LosAngeles,37,,
Paris,,104008,
London,18,70471,Yes
LosAngeles,43,113767,No
Istanbul,,101301,
Delhi,17,,
Shanghai,48,60147,No
Delhi,19,94696,Yes
RioDeJaneiro,28,42571,Yes
Paris,48,100737,No
Cairo,28,,
Chicago,67,63978,No
Seoul,63,48600,No
London,32,37657,No
Shanghai,55,78235,No
Istanbul,47,112477,No
Tokyo,60,46881,No
LosAngeles,64,43829,No
Berlin,47,55114,No
Cairo,,111452,
Chicago,31,116986,Yes
Bangkok,63,,
Chicago,53,57193,No
Chicago,77,,
Cairo,62,115898,No
NewYork,36,54578,Yes
Delhi,49,61046,No
London,42,,
RioDeJaneiro,24,68617,Yes
Shanghai,63,,
HongKong,50,67213,No
Cairo,52,,
Tokyo,22,38602,No
Sydney,66,,
Mumbai,46,,
Delhi,22,,
RioDeJaneiro,58,,
Paris,50,65801,No
HongKong,63,93823,No
Tokyo,64,90032,No
HongKong,62,108707,No
Toronto,,80586,
Singapore,,33610,
Cairo,70,99253,No
Tokyo,,51828,
Singapore,28,,
Cairo,54,105206,No
Toronto,18,43961,Yes
Moscow,84,,
NewYork,53,72703,No
Bangkok,65,110897,No
Toronto,49,,
Bangkok,,,
Moscow,16,105932,Yes
Paris,55,,
Berlin,40,99843,No
Sydney,,56742,
Singapore,44,90059,No
Singapore,,103766,
Moscow,,97746,
Chicago,61,82803,No
Singapore,,42271,
Mumbai,,75073,
Chicago,18,77302,Yes
Moscow,,66299,
NewYork,29,,
London,24,99031,Yes
Cairo,,,
Toronto,20,114772,Yes
Tokyo,66,69175,No
Berlin,43,30489,No
HongKong,42,55576,No
RioDeJaneiro,63,,
Delhi,36,32980,No
Tokyo,57,75859,No
Mumbai,41,115106,No
Moscow,33,79240,Yes
Chicago,61,,
HongKong,,102075,
Istanbul,22,89605,Yes
Mumbai,,49335,
Singapore,63,,
Berlin,,,
Berlin,43,,
Shanghai,64,93740,No
Toronto,,83406,
Berlin,,78825,
Sydney,,96322,
Paris,43,,
Delhi,,,
Seoul,61,90179,No
Berlin,50,102639,No
Cairo,36,79092,Yes
NewYork,32,92775,Yes
LosAngeles,43,80739,No
LosAngeles,64,,
LosAngeles,65,31699,No
Cairo,59,45229,No
Shanghai,36,97485,Yes
Istanbul,59,37499,No
Mumbai,31,58969,Yes
HongKong,25,31253,No
Istanbul,38,90972,Yes
Toronto,19,116786,Yes
Cairo,50,47313,No
Mumbai,60,78021,No
Toronto,18,144007,Yes
Mumbai,23,66615,Yes
Mumbai,,43483,
Sydney,67,89850,No
Paris,,45735,
Sydney,68,30305,No
Mumbai,38,85910,Yes
Bangkok,30,71487,Yes
Bangkok,53,82236,No
Tokyo,62,40602,No
Shanghai,38,96732,Yes
Seoul,22,51426,Yes
Mumbai,62,,
Cairo,,,
Mumbai,42,,
Istanbul,45,116987,No
Cairo,38,116315,Yes
RioDeJaneiro,,51657,
Mumbai,41,,
Paris,,,
London,40,47074,No
Toronto,41,71599,No
London,16,108965,Yes
Istanbul,45,,
Paris,68,,
Delhi,22,104378,Yes
Shanghai,,,
Cairo,38,68433,Yes
Tokyo,,,
Sydney,38,61740,Yes
Singapore,52,,
NewYork,,92987,
LosAngeles,42,96959,No
LosAngeles,,117286,
Tokyo,,93005,
LosAngeles,49,65454,No
London,38,30646,No
Tokyo,22,,
LosAngeles,53,35923,No
NewYork,,,
Chicago,53,52143,No
Toronto,46,103816,No
RioDeJaneiro,56,,
Delhi,47,68486,No
Delhi,32,108648,Yes
Paris,22,37770,No
Berlin,36,32499,No
Delhi,57,77252,No
Shanghai,35,62766,Yes
Chicago,50,31904,No
Moscow,69,79363,No
Istanbul,58,97862,No
Sydney,,,
Chicago,69,106428,No
NewYork,27,106442,Yes
Bangkok,28,90045,Yes
RioDeJaneiro,58,,
Berlin,,,
Tokyo,23,104184,Yes
Seoul,16,115076,Yes
Shanghai,,,
London,,91396,
Sydney,16,65545,Yes
Delhi,39,79933,Yes
London,36,32336,No
Sydney,53,93655,No
NewYork,21,,
NewYork,49,107032,No
Moscow,30,,
HongKong,,94163,
Sydney,31,34554,No
Toronto,,80625,
Shanghai,,62987,
Berlin,61,94649,No
Bangkok,58,112701,No
Cairo,23,52428,Yes
Toronto,,101084,
Tokyo,38,65719,Yes
NewYork,18,,
London,,95461,
LosAngeles,31,66431,Yes
Moscow,38,,
Paris,20,108786,Yes
HongKong,65,42160,No
Tokyo,46,,
RioDeJaneiro,42,99714,No
London,68,84452,No
Tokyo,62,89071,No
RioDeJaneiro,21,89535,Yes
Berlin,,60428,
Paris,72,,
Shanghai,60,77985,No
HongKong,19,79877,Yes
Chicago,29,61633,Yes
HongKong,40,,
Singapore,,81109,
LosAngeles,,84767,
Toronto,58,79902,No
Istanbul,68,32384,No
Singapore,46,106321,No
Seoul,25,80800,Yes
Chicago,70,46786,No
LosAngeles,47,,
Mumbai,28,116694,Yes
Berlin,,,
London,68,58598,No
Moscow,60,89332,No
LosAngeles,43,105316,No
Moscow,65,,
Berlin,44,95386,No
Istanbul,,38430,
Delhi,73,39899,No
Toronto,31,45563,Yes
Moscow,23,67646,Yes
NewYork,48,35790,No
Paris,17,118938,Yes
RioDeJaneiro,47,97637,No
Chicago,,,
Shanghai,,65363,
Delhi,,117076,
Toronto,42,92585,No
Istanbul,17,,
Sydney,29,43559,Yes
Toronto,53,101314,No
RioDeJaneiro,30,65731,Yes
Toronto,28,65355,Yes
RioDeJaneiro,74,85223,No
Chicago,43,37416,No
Moscow,20,35479,No
Mumbai,33,,
Chicago,37,89289,Yes
Tokyo,68,32711,No
Seoul,35,39019,No
Bangkok,37,96199,Yes
Istanbul,68,109054,No
Bangkok,31,67914,Yes
Paris,67,46720,No
RioDeJaneiro,38,40429,Yes
Seoul,26,112371,Yes
Delhi,56,37683,No
Moscow,,81971,
London,56,,
London,31,106807,Yes
Berlin,28,,
Singapore,,,
Singapore,50,37416,No
RioDeJaneiro,,116647,
Berlin,54,34379,No
Shanghai,21,62907,Yes
Singapore,20,108172,Yes
Moscow,50,54645,No
Moscow,47,,
Chicago,67,,
Istanbul,57,46969,No
Mumbai,60,107249,No
Tokyo,39,94722,Yes
Mumbai,,51541,
Berlin,,,
Berlin,62,73764,No
RioDeJaneiro,55,75049,No
Seoul,21,75373,Yes
Mumbai,32,56940,Yes
Delhi,,100006,
LosAngeles,36,141900,Yes
Tokyo,59,87434,No
NewYork,,78291,
RioDeJaneiro,36,78681,Yes
Bangkok,18,56491,Yes
Mumbai,,77591,
London,58,92561,No
Paris,54,,
Moscow,51,36524,No
Seoul,,58028,
Istanbul,24,73322,Yes
RioDeJaneiro,44,,
Mumbai,27,,
Istanbul,54,44839,No
Delhi,,,
Cairo,22,103418,Yes
Shanghai,61,53925,No
Bangkok,,86549,
Seoul,31,41597,Yes
London,,,
London,34,107259,Yes
Moscow,22,108095,Yes
HongKong,,119560,
Toronto,51,38416,No
LosAngeles,53,33555,No
Cairo,,,
Tokyo,23,119418,Yes
Paris,24,71194,Yes
Singapore,40,97630,No
Seoul,64,37843,No
Moscow,45,75045,No
London,53,68031,No
Shanghai,54,45051,No
Cairo,61,65530,No
Chicago,22,95924,Yes
Bangkok,41,,
RioDeJaneiro,59,61974,No
LosAngeles,16,158665,Yes
Cairo,28,51727,Yes
Moscow,31,92598,Yes
Moscow,,109687,
Shanghai,22,37524,No
Cairo,41,72312,No
Delhi,,37473,
NewYork,47,46671,No
Singapore,48,114348,No
Delhi,70,79632,No
Bangkok,16,32350,No
Sydney,57,48506,No
NewYork,58,146270,No
Berlin,61,,
Delhi,36,94938,Yes
Chicago,69,102688,No
Cairo,37,57499,Yes
Berlin,,,
NewYork,48,112646,No
Delhi,42,62561,No
Moscow,,60554,
Sydney,,82418,
Moscow,49,,
Istanbul,28,32458,No
Mumbai,46,,
Sydney,29,111773,Yes
Sydney,37,101501,Yes
Delhi,38,107400,Yes
Berlin,16,159993,Yes
Mumbai,,43711,
Istanbul,,43046,
Bangkok,22,64120,Yes
RioDeJaneiro,64,77883,No
Chicago,53,43803,No
Shanghai,70,,
London,25,87804,Yes
Delhi,58,97853,No
Moscow,24,89390,Yes
London,18,62443,Yes
Moscow,67,,
RioDeJaneiro,62,56167,No
Tokyo,46,83899,No
London,,,
London,34,108132,Yes
Toronto,18,,
Sydney,20,75456,Yes
RioDeJaneiro,,102316,
Tokyo,,,
Istanbul,25,77272,Yes
Moscow,20,99101,Yes
Istanbul,36,43210,Yes
Moscow,38,,
Chicago,64,70640,No
Mumbai,38,,
Delhi,,110150,
RioDeJaneiro,26,38970,No
RioDeJaneiro,63,,
London,22,38401,No
Chicago,27,,
NewYork,60,91705,No
HongKong,45,,
Toronto,63,34031,No
RioDeJaneiro,17,40555,Yes
Shanghai,54,114451,No
Delhi,25,,
Paris,50,83268,No
RioDeJaneiro,69,113892,No
Tokyo,,,
Istanbul,45,,
Tokyo,60,82736,No
Paris,60,,
Tokyo,16,,
RioDeJaneiro,57,81978,No
Chicago,35,59672,Yes
Bangkok,33,76953,Yes
Shanghai,32,111333,Yes
Shanghai,60,115836,No
Chicago,46,,
RioDeJaneiro,,98849,
Tokyo,70,32665,No
Delhi,,31565,
Toronto,,51326,
Mumbai,,72322,
Moscow,61,,
Chicago,,79784,
Paris,37,49166,Yes
Berlin,65,,
HongKong,32,93075,Yes
Delhi,69,114495,No
London,33,43694,Yes
Paris,,65865,
Paris,26,,
HongKong,,111296,
Cairo,40,59456,No
Paris,,45259,
Chicago,53,77537,No
HongKong,43,112793,No
RioDeJaneiro,,,
Delhi,,68798,
London,51,60824,No
Toronto,,112698,
Berlin,34,47935,Yes
Toronto,,82196,
Istanbul,24,36339,No
HongKong,,41512,
Paris,28,96794,Yes
RioDeJaneiro,,50993,
NewYork,51,86757,No
Singapore,,92105,
NewYork,,107093,
Cairo,66,58603,No
NewYork,43,77912,No
Chicago,33,79709,Yes
Shanghai,23,53244,Yes
Sydney,52,93562,No
Moscow,,60431,
Sydney,66,68970,No
Toronto,47,59784,No
Istanbul,24,70917,Yes
Delhi,45,87376,No
LosAngeles,,36110,
Berlin,27,74894,Yes
London,30,115351,Yes
Bangkok,70,52089,No
RioDeJaneiro,27,75564,Yes
Paris,42,107005,No
Istanbul,,98033,
Sydney,57,107311,No
LosAngeles,57,100845,No
Shanghai,50,,
Singapore,38,,
Istanbul,67,47722,No
Berlin,22,50200,Yes
LosAngeles,68,59639,No
LosAngeles,47,,
Shanghai,34,93015,Yes
Delhi,64,109125,No
Chicago,43,,
Seoul,18,77948,Yes
Moscow,56,92900,No
NewYork,29,65812,Yes
Singapore,,83677,
Chicago,22,,
HongKong,19,103368,Yes
Tokyo,35,67572,Yes
Moscow,52,,
Seoul,50,98710,No
RioDeJaneiro,43,102447,No
NewYork,67,,
Delhi,50,96316,No
Toronto,60,78396,No
Sydney,,,
Paris,35,,
Bangkok,49,42178,No
Sydney,66,167515,No
Moscow,67,92063,No
Paris,47,108525,No
Tokyo,79,44567,No
RioDeJaneiro,,97837,
Paris,,83722,
Cairo,,117932,
Toronto,68,62409,No
Paris,,,
Berlin,39,43041,Yes
Chicago,29,111197,Yes
Tokyo,69,,
RioDeJaneiro,89,114400,No
RioDeJaneiro,64,35730,No
Shanghai,,66448,
Bangkok,69,109413,No
Delhi,25,56698,Yes
Sydney,30,33042,No
Singapore,,76470,
Delhi,25,112402,Yes
Cairo,37,,
Mumbai,64,35062,No
Istanbul,53,97640,No
Seoul,,,
Shanghai,41,,
Tokyo,51,,
Shanghai,58,116518,No
LosAngeles,27,96178,Yes
Seoul,70,,
Toronto,59,96899,No
Seoul,43,71260,No
HongKong,52,57552,No
Cairo,48,56316,No
Toronto,20,43376,Yes
London,62,56732,No
Berlin,41,42107,No
HongKong,69,40123,No
Chicago,63,54390,No
Toronto,55,108410,No
Toronto,61,36568,No
RioDeJaneiro,,100013,
Toronto,67,109160,No
Mumbai,56,80968,No
RioDeJaneiro,38,70134,Yes
LosAngeles,,33694,
RioDeJaneiro,16,50572,Yes
Toronto,44,52111,No
HongKong,70,37620,No
LosAngeles,35,104722,Yes
Shanghai,,104748,
Cairo,21,33315,No
NewYork,25,,
Istanbul,18,104787,Yes
Istanbul,21,115935,Yes
NewYork,42,,
Tokyo,53,59012,No
Istanbul,31,88328,Yes
Chicago,52,30105,No
Bangkok,,114671,
Berlin,67,96420,No
HongKong,50,,
Seoul,70,,
Bangkok,,,
LosAngeles,35,98412,Yes
LosAngeles,,39649,
LosAngeles,58,32465,No
Toronto,21,113736,Yes
LosAngeles,21,116587,Yes
HongKong,,38945,
NewYork,,124674,
LosAngeles,60,49739,No
Bangkok,28,,
Tokyo,,103851,
LosAngeles,,,
Seoul,,103868,
Bangkok,27,,
Berlin,49,51125,No
Mumbai,30,65641,Yes
Shanghai,34,,
Moscow,26,114482,Yes
Shanghai,73,49902,No
Tokyo,50,,
Mumbai,34,,
Istanbul,41,72231,No
NewYork,,31906,
Shanghai,56,79922,No
Cairo,,32630,
Shanghai,,69800,
Istanbul,58,,
London,33,93863,Yes
Bangkok,67,,
Singapore,67,66483,No
Bangkok,53,80457,No
NewYork,,67538,
RioDeJaneiro,55,,
Bangkok,63,103921,No
Bangkok,45,70040,No
NewYork,,78130,
Seoul,48,,
Tokyo,,91485,
Cairo,37,74058,Yes
Istanbul,,44074,
Shanghai,59,60405,No
NewYork,,,
Toronto,,31711,
NewYork,,76357,
Delhi,52,,
London,,,
Mumbai,37,73906,Yes
Seoul,41,119727,No
LosAngeles,38,,
Delhi,,,
Moscow,50,82632,No
Bangkok,21,105741,Yes
Moscow,38,102404,Yes
London,35,107302,Yes
HongKong,30,148113,Yes
Istanbul,41,67528,No
Delhi,,102150,
LosAngeles,20,112133,Yes
Berlin,51,93140,No
Delhi,60,99467,No
Berlin,30,118357,Yes
Berlin,46,131074,No
HongKong,,119424,
Paris,,117955,
Paris,61,114331,No
Sydney,20,,
Seoul,57,65797,No
Shanghai,30,92982,Yes
HongKong,17,,
HongKong,42,103699,No
Delhi,,67346,
Moscow,,,
Sydney,66,43290,No
Cairo,19,,
London,,120387,
Istanbul,,93196,
Cairo,,43105,
Istanbul,,62340,
Tokyo,50,,
Sydney,,110271,
Sydney,34,105057,Yes
Chicago,30,,
Sydney,25,,
Berlin,,56515,
Shanghai,21,93021,Yes
Sydney,55,,
RioDeJaneiro,32,110256,Yes
Berlin,59,40527,No
Toronto,39,,
Mumbai,85,49719,No
NewYork,36,43508,Yes
Tokyo,,101568,
Delhi,27,31110,No
Moscow,,91936,
NewYork,20,90722,Yes
Istanbul,21,99944,Yes
Mumbai,59,,
Berlin,27,74928,Yes
Berlin,39,,
LosAngeles,20,,
Tokyo,26,67699,Yes
RioDeJaneiro,,39062,
Tokyo,,75954,
