relativehumidity_2m,dewpoint_2m,windspeed_100m,winddirection_100m,Power/hour
87,51.1,5.4,268,0.1891
89,51.3,5.04,256,0.1749
89,51.9,4.4,269,0.1657
84,54.8,4.18,281,0.1615
78,56.4,2.94,260,0.1572
69,56.4,3.69,237,0.153
65,57.9,4.49,238,0.1487
63,58.9,4.14,250,0.1445
59,59.1,3.7,251,0.1402
58,59.0,3.13,243,0.1369
75,58.8,7.15,228,0.1344
84,60.3,2.7,231,0.132
80,61.0,2.69,228,0.1295
75,60.1,3.72,264,0.1271
75,60.1,2.92,232,0.1246
78,60.5,3.74,254,0.1221
86,60.5,4.49,238,0.1197
91,60.1,3.2,256,0.1172
92,59.7,3.4,242,0.1148
93,58.8,4.52,235,0.1123
93,58.2,4.74,242,0.1099
92,57.7,4.33,251,0.1074
93,57.5,4.18,253,0.1049
93,57.5,3.69,257,0.1025
93,57.4,3.62,264,0.1
92,57.6,3.7,272,0.0976
89,57.9,3.96,280,0.0951
91,59.1,3.76,310,0.0926
92,59.6,2.78,322,0.0902
92,61.2,0.6,360,0.0877
89,61.0,0.3,180,0.0853
90,62.8,1.88,205,0.0828
77,60.0,3.61,318,0.0804
85,60.1,5.5,27,0.0779
83,60.3,4.46,9,0.0754
77,60.5,4.13,7,0.073
72,58.7,4.4,357,0.0705
62,54.0,4.63,6,0.0681
61,52.9,4.08,11,0.0656
74,57.0,4.17,44,0.0693
87,57.0,2.87,29,0.0793
90,55.8,2.78,330,0.0892
88,54.7,3.77,338,0.0992
86,53.4,3.94,336,0.1091
87,52.3,3.66,325,0.1191
82,51.9,4.18,318,0.129
83,51.8,5.41,298,0.1389
83,51.6,6.26,283,0.1489
87,52.4,6.25,277,0.1588
93,53.4,6.22,281,0.1688
94,54.2,5.92,282,0.1784
86,56.5,5.7,272,0.1877
75,56.8,4.24,262,0.197
63,55.1,4.8,269,0.2062
60,56.4,4.62,275,0.2155
54,56.3,5.0,282,0.2248
49,55.2,4.81,287,0.2341
46,54.6,4.49,291,0.2332
44,54.0,4.59,286,0.222
44,53.7,4.95,284,0.2108
45,54.1,4.92,275,0.1996
46,54.4,5.0,269,0.1884
51,56.2,5.01,273,0.1772
58,57.2,4.81,266,0.1999
64,56.5,5.4,272,0.2566
66,56.0,6.2,260,0.3133
66,55.4,6.87,257,0.3699
66,54.5,7.24,264,0.4266
68,54.3,7.01,272,0.4833
73,54.8,6.62,274,0.54
75,54.6,6.3,271,0.5966
75,53.7,6.1,268,0.6533
77,53.3,6.41,267,0.71
77,53.4,6.94,264,0.7667
80,54.3,6.1,270,0.7559
77,57.4,6.67,257,0.6776
73,59.1,5.17,255,0.5994
69,60.7,4.23,263,0.5211
63,61.5,3.71,265,0.4428
55,60.1,3.92,264,0.3646
47,56.4,5.0,269,0.2863
43,54.9,4.81,266,0.2403
41,53.7,4.8,268,0.2265
42,53.7,4.71,266,0.2128
44,54.6,4.21,266,0.199
48,56.3,3.0,307,0.1852
63,61.8,2.25,339,0.1715
57,58.7,3.61,273,0.1577
67,59.1,3.59,283,0.1439
53,54.7,2.32,277,0.1302
74,58.9,1.63,223,0.1164
75,58.8,1.99,198,0.1026
82,58.8,1.66,205,0.0889
84,58.3,1.21,204,0.0751
82,57.7,1.98,225,0.0613
81,57.3,2.7,219,0.0475
80,57.1,2.76,224,0.0338
82,57.1,3.14,239,0.02
80,56.6,4.28,217,0.0163
84,58.5,4.79,203,0.0226
77,59.3,4.65,208,0.029
68,59.7,3.89,209,0.0353
63,60.0,3.13,207,0.0417
50,57.1,3.5,211,0.048
44,54.2,3.67,197,0.0543
43,54.3,3.3,180,0.057
43,54.4,3.04,163,0.056
44,55.4,4.05,160,0.055
46,56.3,4.35,157,0.054
49,57.5,4.58,148,0.053
57,59.4,5.66,132,0.0521
66,60.8,5.41,109,0.0793
70,59.4,6.35,123,0.1348
74,60.1,6.11,140,0.1903
70,58.6,7.3,181,0.2459
67,56.2,7.5,179,0.3014
67,55.0,7.41,183,0.3569
69,54.9,7.37,188,0.4124
73,55.6,7.65,197,0.4679
75,56.4,7.18,196,0.5234
77,57.0,6.87,201,0.5789
77,56.8,6.41,236,0.6344
79,56.5,5.63,250,0.6151
80,60.0,6.95,210,0.521
77,61.0,4.61,210,0.4268
75,61.8,4.74,208,0.3327
77,63.1,4.83,207,0.2385
77,63.7,4.2,205,0.1444
73,64.5,3.5,211,0.0502
84,63.7,4.1,236,0.0097
79,64.3,3.39,225,0.0228
74,65.8,3.55,220,0.0359
83,62.2,8.3,257,0.0491
89,63.6,3.4,272,0.0622
83,63.6,5.5,268,0.0753
91,64.9,1.28,231,0.0866
93,64.5,4.24,255,0.096
92,62.9,5.25,301,0.1054
95,62.8,4.79,299,0.1148
95,62.1,5.99,298,0.1242
94,61.6,5.46,298,0.1336
94,60.9,5.28,299,0.143
95,60.7,5.06,300,0.1524
96,60.6,5.25,301,0.1618
97,60.5,5.2,300,0.1712
97,60.3,5.15,294,0.1806
98,60.2,5.41,295,0.2006
94,60.9,5.02,301,0.2311
91,60.1,5.39,329,0.2617
90,61.8,3.66,305,0.2922
85,59.6,5.52,325,0.3227
84,59.4,5.55,326,0.3533
83,62.4,4.46,318,0.3838
77,62.4,4.92,333,0.3779
77,60.2,4.91,327,0.3357
70,58.2,5.64,335,0.2935
65,56.9,5.7,338,0.2512
63,56.4,6.11,339,0.209
65,56.0,5.0,344,0.1667
71,57.4,3.61,355,0.1412
79,57.2,3.65,351,0.1322
82,56.9,4.4,343,0.1233
81,56.1,4.44,352,0.1143
77,52.9,5.25,342,0.1054
80,52.6,4.98,322,0.0964
85,53.9,4.84,308,0.0875
89,54.9,5.08,306,0.0785
90,54.7,5.64,297,0.0696
92,54.8,5.52,292,0.0606
95,54.8,5.33,300,0.0517
94,54.6,5.25,310,0.0541
88,57.0,4.83,304,0.0678
78,57.3,2.89,284,0.0816
66,56.4,2.7,272,0.0954
59,56.3,3.0,270,0.1091
51,54.6,2.75,280,0.1229
47,54.0,2.06,293,0.1366
44,53.6,1.3,266,0.1504
43,52.0,1.4,94,0.1642
56,58.0,3.51,93,0.1779
65,60.2,4.6,92,0.1917
68,59.5,5.0,91,0.2055
71,58.9,3.6,92,0.2192
77,59.2,2.8,125,0.233
85,59.3,3.82,135,0.2468
86,59.1,4.11,139,0.2605
88,58.3,4.84,142,0.2743
85,57.3,5.22,148,0.288
85,56.8,5.37,156,0.3018
88,57.3,5.2,169,0.3156
90,57.3,5.19,199,0.3293
90,56.9,5.24,209,0.3431
89,56.9,5.16,216,0.3569
88,57.1,5.06,210,0.3706
85,56.9,5.59,204,0.3555
82,58.0,5.28,209,0.3115
73,57.9,4.77,190,0.2676
66,58.1,3.9,181,0.2236
62,57.5,3.61,177,0.1796
58,57.4,3.1,180,0.1356
53,56.2,3.49,167,0.0917
50,55.3,3.49,153,0.0758
48,55.5,3.13,163,0.0881
48,55.3,2.2,180,0.1004
50,55.7,1.1,175,0.1127
54,57.1,1.14,142,0.125
62,59.3,0.61,171,0.1373
70,60.5,4.84,128,0.1486
77,60.1,5.47,140,0.159
78,60.0,4.92,142,0.1694
77,59.5,4.52,175,0.1797
81,60.0,4.29,208,0.1901
85,60.3,4.56,232,0.2005
89,60.3,3.0,300,0.2108
93,60.3,2.62,18,0.2212
94,60.0,0.58,59,0.2316
96,60.3,2.11,301,0.2419
97,60.1,3.5,323,0.2523
96,59.9,3.69,311,0.2418
93,61.9,2.62,317,0.2103
88,63.3,2.05,313,0.1788
82,63.3,3.62,354,0.1473
76,62.7,3.67,11,0.1159
64,60.0,2.53,9,0.0844
57,58.3,2.51,355,0.0529
50,57.1,3.69,327,0.0387
49,56.2,4.47,326,0.0417
50,55.9,3.91,320,0.0447
48,55.8,4.19,303,0.0478
53,57.3,3.7,341,0.0508
65,60.0,3.31,25,0.0538
69,60.4,3.42,21,0.0535
79,59.6,4.52,28,0.0498
80,58.8,4.83,34,0.0462
83,59.1,4.12,51,0.0425
86,59.3,4.3,54,0.0388
89,59.5,3.88,55,0.0352
89,59.8,3.82,43,0.0315
88,59.1,4.4,21,0.0278
87,58.3,4.68,20,0.0242
91,58.9,3.81,30,0.0205
91,59.6,2.12,45,0.0168
96,59.9,1.75,59,0.0156
94,61.2,1.5,356,0.0167
85,62.5,0.81,30,0.0178
75,62.0,0.92,77,0.0189
66,60.7,1.3,90,0.02
60,60.1,1.4,90,0.0211
55,59.2,2.1,65,0.0223
59,60.4,3.85,81,0.0265
63,60.5,5.7,90,0.0338
62,59.6,5.26,99,0.0412
60,59.0,5.54,97,0.0485
60,58.2,5.71,93,0.0559
64,58.8,4.83,96,0.0632
74,60.9,4.88,101,0.0995
84,61.6,4.46,106,0.1649
90,62.6,4.74,108,0.2302
89,62.4,5.5,109,0.2956
89,61.8,5.76,110,0.3609
86,61.0,6.36,120,0.4262
86,61.1,6.45,131,0.4916
82,60.9,6.64,149,0.5569
75,58.8,7.03,150,0.6223
72,57.8,7.52,147,0.6876
70,57.3,7.74,147,0.753
69,57.1,7.91,145,0.758
74,60.3,8.0,143,0.7029
78,61.0,7.8,149,0.6477
81,62.0,8.1,154,0.5925
89,64.4,7.37,159,0.5373
93,66.9,8.73,167,0.4821
95,68.3,7.95,174,0.427
96,68.8,7.24,186,0.4069
97,69.3,6.3,170,0.422
95,69.9,7.08,167,0.4371
91,71.1,7.64,174,0.4522
81,71.2,7.91,177,0.4673
89,70.1,7.84,191,0.4824
91,70.8,7.96,195,0.4867
94,71.0,7.33,206,0.4802
95,70.7,7.35,202,0.4737
91,68.7,7.3,229,0.4672
88,67.2,7.96,237,0.4607
85,65.2,8.47,240,0.4542
84,64.6,8.1,235,0.4477
84,64.6,8.34,232,0.4412
85,64.3,8.12,232,0.4347
86,64.3,7.75,231,0.4282
87,64.5,7.82,238,0.4217
90,64.6,8.22,238,0.4558
92,65.0,8.99,249,0.5305
90,64.2,9.84,251,0.6053
87,63.7,9.39,242,0.68
76,62.7,10.42,249,0.7547
67,61.3,10.79,253,0.8295
62,60.9,10.38,257,0.9042
63,61.5,11.28,257,0.9308
63,60.9,10.61,268,0.9092
65,61.2,10.2,269,0.8877
66,61.3,9.82,274,0.8661
66,60.8,10.14,280,0.8445
69,60.6,8.66,284,0.823
79,61.4,8.42,286,0.791
79,60.3,7.09,292,0.7485
79,59.7,6.31,285,0.7061
79,59.5,5.9,281,0.6636
81,59.1,5.63,276,0.6212
84,59.1,5.1,271,0.5788
87,59.2,5.53,264,0.5363
86,59.2,5.0,269,0.4939
89,59.4,5.72,251,0.4514
89,60.1,5.35,262,0.409
89,59.9,6.04,286,0.3665
90,59.8,5.46,284,0.3402
90,60.3,5.89,280,0.3298
83,59.4,7.53,289,0.3195
78,59.0,7.24,296,0.3092
71,57.9,7.48,308,0.2989
66,57.4,6.93,314,0.2886
66,57.3,6.79,313,0.2783
60,56.5,6.1,311,0.2734
55,56.0,5.44,306,0.2739
52,55.7,5.5,297,0.2744
53,56.2,6.04,294,0.2749
55,56.6,4.88,285,0.2755
59,57.8,4.36,279,0.276
67,58.7,4.2,258,0.2805
73,58.2,4.87,251,0.289
75,57.6,5.83,248,0.2975
76,57.3,6.62,245,0.306
76,57.2,6.8,250,0.3145
77,57.3,7.16,255,0.323
80,57.6,7.01,267,0.3315
83,57.8,6.61,267,0.34
86,57.9,6.26,262,0.3485
88,57.9,6.18,261,0.3569
90,57.8,6.07,261,0.3654
91,57.7,5.87,261,0.3562
86,59.3,5.63,258,0.3293
78,60.2,4.75,248,0.3024
71,61.3,4.37,250,0.2755
65,62.1,3.8,243,0.2485
58,61.6,4.52,252,0.2216
55,60.9,4.24,251,0.1947
51,60.3,3.72,239,0.1886
47,59.4,4.25,229,0.2033
42,56.9,4.58,216,0.218
38,55.3,3.75,222,0.2327
41,56.7,2.97,225,0.2473
54,61.5,1.84,225,0.262
56,58.9,5.22,275,0.2767
65,59.1,4.81,274,0.2914
71,59.1,4.22,239,0.3061
74,58.9,4.42,218,0.3208
77,59.1,5.05,214,0.3355
80,59.5,6.17,200,0.3502
82,60.6,6.84,205,0.3648
87,62.4,7.38,213,0.3795
90,63.3,6.58,224,0.3942
92,63.7,6.8,229,0.4089
92,63.6,5.91,236,0.4236
92,63.4,5.46,242,0.4286
82,64.2,6.52,229,0.4239
76,65.4,6.02,238,0.4192
67,66.1,5.03,253,0.4144
64,67.0,4.33,263,0.4097
62,68.0,3.2,268,0.405
58,67.3,2.2,270,0.4003
54,66.5,2.56,231,0.3956
51,65.6,2.53,198,0.3909
49,64.9,2.94,170,0.3862
56,65.7,5.34,142,0.3815
51,63.6,5.19,196,0.3768
58,65.3,5.73,209,0.372
74,67.7,7.19,201,0.3833
77,66.7,7.26,187,0.4104
78,66.9,7.7,179,0.4375
82,67.7,8.08,192,0.4646
83,68.4,7.76,202,0.4918
82,68.7,8.35,222,0.5189
79,67.4,8.44,234,0.546
76,65.0,9.18,235,0.5732
76,65.0,8.58,229,0.6003
79,66.3,8.44,229,0.6274
86,67.6,8.85,236,0.6546
93,68.1,10.03,240,0.6777
87,67.5,12.75,228,0.6968
88,66.8,13.88,232,0.7159
92,67.5,11.32,245,0.735
92,67.3,9.44,243,0.7541
90,68.1,8.95,252,0.7732
86,67.1,8.08,255,0.7923
77,65.7,8.95,256,0.7998
83,64.6,8.11,273,0.7957
79,63.2,6.89,283,0.7916
59,57.3,7.8,293,0.7875
54,54.8,8.5,298,0.7834
55,53.5,9.15,304,0.7792
63,54.9,7.39,293,0.7711
64,53.7,7.96,298,0.7589
65,52.8,7.39,300,0.7467
68,52.2,7.39,300,0.7345
68,51.4,6.94,295,0.7223
71,51.8,6.67,283,0.7102
75,52.3,6.6,269,0.698
77,52.1,7.17,262,0.6858
75,51.2,7.32,265,0.6736
77,51.2,7.21,267,0.6614
80,51.6,7.51,273,0.6492
82,52.4,7.37,278,0.6171
79,54.6,7.55,281,0.565
72,53.8,8.34,293,0.513
69,54.0,8.1,299,0.4609
65,53.3,7.48,300,0.4089
63,53.1,7.38,298,0.3568
60,52.5,7.58,301,0.3048
57,51.9,6.96,302,0.2776
56,51.7,7.05,305,0.2753
55,51.0,6.02,306,0.273
53,50.3,5.91,304,0.2707
52,49.8,5.59,299,0.2684
52,49.2,5.11,320,0.2661
69,53.5,4.72,36,0.2636
83,55.6,3.47,46,0.2609
90,56.2,2.2,330,0.2581
88,55.5,3.88,348,0.2554
83,52.5,5.95,340,0.2526
83,51.2,5.39,338,0.2498
85,50.2,5.2,337,0.2471
86,49.6,5.41,335,0.2443
89,49.3,5.08,328,0.2416
91,49.2,4.96,318,0.2388
92,49.2,5.32,311,0.2361
92,49.0,5.69,309,0.2199
90,50.7,4.98,308,0.1903
79,50.0,3.8,305,0.1607
68,48.3,3.78,307,0.1311
62,47.4,4.53,313,0.1015
54,46.1,4.06,322,0.0719
50,45.0,4.94,328,0.0423
63,49.8,5.56,322,0.0417
60,48.8,4.13,328,0.0702
64,49.7,5.39,349,0.0987
69,49.9,4.84,353,0.1272
81,54.3,4.13,7,0.1557
80,52.6,3.21,355,0.1842
79,51.9,3.6,2,0.1979
82,51.3,4.0,357,0.1969
83,50.4,4.2,360,0.1959
84,49.9,3.7,358,0.1949
84,49.0,4.1,359,0.1938
82,47.6,4.7,359,0.1928
83,47.4,4.7,1,0.1918
84,47.4,4.02,6,0.1908
87,47.4,3.86,343,0.1897
88,47.4,5.02,337,0.1887
87,47.5,5.5,335,0.1877
89,47.8,5.16,328,0.1805
88,50.1,5.19,320,0.1671
82,51.8,4.0,307,0.1537
71,51.1,3.36,300,0.1403
59,48.7,3.72,306,0.1269
53,47.6,4.11,334,0.1135
53,48.8,4.2,348,0.1001
55,49.2,4.34,8,0.0933
53,49.0,3.83,15,0.093
53,49.0,3.55,10,0.0927
52,48.5,3.23,16,0.0923
53,48.1,4.02,19,0.092
57,48.3,3.54,43,0.0917
71,48.6,3.36,53,0.0903
76,48.5,3.56,38,0.0878
78,48.8,2.48,43,0.0852
82,49.1,2.06,29,0.0827
88,48.7,2.5,16,0.0802
88,48.0,2.57,13,0.0777
80,47.6,2.2,357,0.0751
87,47.6,2.5,16,0.0726
87,46.9,2.92,31,0.0701
85,46.0,2.25,32,0.0676
86,45.8,2.7,39,0.065
86,46.2,2.97,42,0.0625
84,48.8,2.64,25,0.06
76,50.6,2.18,16,0.0575
60,48.3,1.66,33,0.0549
55,47.5,1.56,50,0.0524
54,48.5,2.12,71,0.0499
52,48.8,2.43,81,0.0473
49,48.5,2.8,90,0.0448
47,47.9,2.81,94,0.0423
48,48.0,3.0,88,0.0398
49,47.9,3.41,85,0.0372
49,46.8,3.4,90,0.0347
55,48.6,3.5,90,0.0322
67,48.8,3.18,103,0.0297
72,48.8,3.81,93,0.0271
82,50.4,3.51,87,0.0246
84,51.2,3.7,90,0.0221
81,51.9,4.2,90,0.0195
87,52.6,4.3,102,0.017
89,52.8,3.68,112,0.0145
90,53.1,3.44,116,0.012
90,53.7,4.02,117,0.0094
91,54.6,4.14,127,0.0069
94,54.0,3.47,136,0.0044
93,55.8,2.5,143,0.0136
95,56.7,3.16,125,0.0345
88,57.5,3.58,126,0.0555
72,55.6,3.5,127,0.0764
61,53.7,3.98,129,0.0973
57,53.6,4.11,139,0.1183
51,51.4,3.83,147,0.1392
47,50.3,3.89,138,0.1451
54,52.8,5.05,117,0.1359
49,50.1,5.03,111,0.1268
49,50.1,3.98,115,0.1176
53,51.9,3.49,117,0.1084
62,54.0,3.92,96,0.0993
72,54.7,3.63,98,0.102
75,54.4,4.71,86,0.1165
82,56.4,5.97,81,0.1311
84,57.5,6.43,95,0.1457
84,58.3,6.93,110,0.1603
81,55.7,5.59,117,0.1748
81,55.5,4.65,109,0.1894
83,55.7,5.08,100,0.204
84,56.4,5.41,102,0.2186
87,57.3,5.77,104,0.2331
88,58.0,5.24,114,0.2477
89,58.4,5.24,114,0.2439
89,59.4,4.97,120,0.2216
87,60.5,5.05,117,0.1993
78,60.6,5.19,130,0.177
75,60.9,4.67,135,0.1548
72,60.9,4.17,136,0.1325
70,60.8,4.55,130,0.1102
72,60.6,5.48,128,0.0933
72,60.8,5.83,129,0.0818
76,61.0,5.25,140,0.0703
90,63.2,5.78,143,0.0588
92,63.2,4.03,134,0.0473
94,63.2,4.53,139,0.0358
95,62.6,2.33,155,0.0348
94,61.9,4.83,117,0.0444
94,61.4,6.22,114,0.054
95,61.6,6.04,114,0.0636
94,61.4,6.77,124,0.0732
94,61.3,7.5,133,0.0828
94,61.6,7.77,148,0.0924
96,61.4,7.11,166,0.102
98,62.1,5.6,180,0.1116
99,62.5,4.8,180,0.1212
99,62.3,4.31,176,0.1308
99,62.2,4.15,165,0.1295
98,62.5,3.94,144,0.1173
96,62.3,4.04,132,0.1052
93,61.9,3.4,133,0.093
88,61.8,3.86,143,0.0808
84,61.4,3.91,148,0.0686
80,62.7,3.06,142,0.0564
78,63.1,3.34,129,0.0558
75,60.5,4.48,119,0.0667
73,61.0,4.1,137,0.0777
77,60.9,3.38,161,0.0886
77,61.2,3.08,167,0.0995
82,62.4,2.94,170,0.1105
92,62.5,1.6,180,0.1133
96,61.6,1.81,174,0.108
97,61.8,2.4,178,0.1027
98,60.9,3.79,192,0.0973
98,60.2,3.64,217,0.092
99,59.9,3.4,223,0.0867
100,59.6,3.19,221,0.0814
100,58.5,3.04,224,0.0761
100,58.2,3.01,249,0.0708
100,57.9,3.0,244,0.0655
100,57.6,3.37,258,0.0602
99,58.8,3.11,264,0.0697
99,60.1,2.71,266,0.0941
98,61.7,2.8,270,0.1185
89,62.4,3.42,277,0.1429
79,62.2,3.91,283,0.1672
71,61.1,4.0,283,0.1916
64,60.1,4.26,279,0.216
61,59.5,4.71,282,0.2404
60,59.1,5.35,287,0.2648
58,58.5,4.81,291,0.2892
56,58.3,4.03,300,0.3136
57,58.5,1.72,306,0.338
62,59.7,0.42,135,0.3624
67,58.9,2.15,242,0.3867
75,59.4,3.53,245,0.4111
75,58.9,5.38,252,0.4355
75,59.2,7.32,305,0.4599
82,60.9,6.69,346,0.4843
93,61.5,6.48,347,0.5087
95,61.5,6.23,341,0.5331
92,60.9,7.14,11,0.5575
91,58.9,7.84,17,0.5818
90,57.3,8.07,20,0.6062
91,56.2,7.69,21,0.6306
89,54.9,6.55,19,0.6407
88,55.5,4.65,9,0.6365
78,53.7,6.69,9,0.6323
69,50.7,7.21,3,0.6281
63,48.9,7.35,12,0.6239
66,49.2,7.55,7,0.6197
62,47.8,6.95,7,0.6155
58,47.0,7.37,8,0.5935
52,44.0,7.79,9,0.5536
52,43.9,8.04,11,0.5137
55,43.6,8.43,10,0.4738
57,43.6,8.75,11,0.4339
66,45.3,8.16,19,0.394
64,44.3,6.63,11,0.3605
68,44.1,4.74,7,0.3334
72,45.2,5.71,33,0.3063
78,47.0,6.44,33,0.2792
79,45.9,5.1,28,0.2521
79,45.5,5.36,14,0.225
79,45.9,5.0,12,0.1979
81,46.6,4.67,45,0.1708
83,46.6,4.17,60,0.1437
81,46.4,4.31,68,0.1166
80,46.8,4.4,87,0.0895
84,47.7,4.3,89,0.0759
82,47.8,3.85,81,0.0759
72,46.3,3.98,78,0.0759
64,44.8,4.52,72,0.0759
62,44.7,4.72,69,0.0759
61,44.7,4.24,75,0.0759
58,44.9,3.89,72,0.0759
56,45.3,4.02,63,0.0835
56,45.6,4.38,63,0.0987
56,45.6,4.33,71,0.1139
57,45.1,4.3,72,0.1291
59,44.8,4.03,67,0.1443
64,45.4,4.0,53,0.1594
77,46.3,4.0,37,0.1746
83,46.3,4.65,28,0.1898
86,46.5,4.84,30,0.205
89,46.9,4.85,32,0.2202
91,47.5,4.56,38,0.2354
91,48.3,4.6,48,0.2506
91,48.9,5.58,54,0.2657
90,49.0,6.17,63,0.2809
90,49.0,6.21,75,0.2961
92,49.6,6.1,92,0.3113
90,49.5,5.86,117,0.3265
87,48.2,5.8,105,0.311
84,48.8,6.45,103,0.2649
74,48.5,5.61,101,0.2188
65,47.5,6.14,109,0.1727
59,47.4,5.95,117,0.1265
54,47.1,5.24,119,0.0804
51,47.4,3.98,115,0.0343
51,48.3,3.98,118,0.0391
49,48.6,5.16,126,0.0948
51,49.9,5.59,136,0.1504
53,51.3,4.39,137,0.2061
56,51.8,5.02,133,0.2618
63,52.8,6.09,138,0.3175
75,54.0,6.98,151,0.3531
80,54.0,5.99,154,0.3687
81,54.3,5.24,156,0.3843
85,54.5,4.62,185,0.3999
90,54.6,5.06,189,0.4155
93,55.2,5.32,221,0.4311
93,55.3,5.86,243,0.4467
91,55.2,6.8,270,0.4623
90,54.5,8.22,288,0.4779
87,52.1,7.24,303,0.4935
86,49.8,5.63,303,0.5091
88,49.3,5.93,276,0.5157
92,51.6,6.22,275,0.5134
91,52.9,5.8,272,0.5111
83,53.7,6.1,288,0.5088
75,54.6,6.52,291,0.5064
73,54.6,6.67,289,0.5041
69,54.7,7.34,287,0.5018
67,54.7,8.48,289,0.4776
60,53.7,7.31,287,0.4315
55,53.4,6.73,281,0.3854
52,53.3,6.51,281,0.3393
51,52.7,6.6,272,0.2932
56,53.5,5.62,265,0.2471
65,53.7,5.94,237,0.258
68,53.3,7.29,227,0.326
66,52.4,8.38,237,0.3939
63,51.9,8.89,251,0.4618
68,52.4,8.26,249,0.5297
71,52.3,8.25,239,0.5977
71,51.9,8.38,234,0.6656
70,51.6,8.82,235,0.7335
69,51.3,9.18,235,0.8014
67,51.0,9.65,236,0.8694
65,50.4,9.81,231,0.9373
62,50.1,10.11,225,0.9667
59,52.8,11.32,226,0.9575
60,54.2,11.46,226,0.9484
60,55.8,10.26,222,0.9392
57,56.6,10.82,226,0.9301
52,57.0,11.06,229,0.9209
50,58.1,11.35,235,0.9118
73,63.8,7.28,257,0.8454
82,62.0,9.91,261,0.7219
88,63.8,7.97,250,0.5983
89,63.8,8.46,235,0.4748
93,64.4,9.49,250,0.3512
94,64.4,8.22,273,0.2277
91,57.8,4.02,325,0.1717
94,58.1,4.48,309,0.1832
97,58.0,5.82,294,0.1947
97,57.9,5.6,289,0.2062
95,57.0,6.35,296,0.2177
93,55.4,7.0,301,0.2292
94,54.6,5.95,290,0.2407
95,54.1,5.53,283,0.2522
96,53.7,4.83,276,0.2637
97,53.4,4.71,258,0.2752
98,52.9,5.1,254,0.2867
97,52.5,5.47,252,0.2828
95,53.4,6.63,265,0.2633
95,54.3,5.5,269,0.2438
93,55.2,4.0,273,0.2244
86,52.4,4.79,281,0.2049
72,50.8,5.0,286,0.1854
53,47.0,7.86,285,0.166
53,47.3,6.43,282,0.1741
53,47.1,6.02,281,0.2099
53,46.5,6.46,286,0.2457
64,50.1,6.26,297,0.2815
63,49.5,4.68,286,0.3173
67,49.4,6.33,291,0.353
78,50.1,3.91,328,0.3644
83,50.4,3.86,307,0.3513
84,49.6,5.52,312,0.3383
87,49.8,4.16,305,0.3252
90,49.9,4.33,310,0.3121
93,49.4,4.24,313,0.2991
94,49.0,4.0,307,0.286
96,48.7,3.71,297,0.2729
97,48.3,4.16,294,0.2599
96,47.9,4.25,294,0.2468
97,47.7,4.49,287,0.2337
99,47.6,4.46,290,0.2141
97,49.1,4.2,282,0.188
88,50.4,3.08,283,0.1619
75,49.0,3.4,294,0.1358
66,47.6,3.09,295,0.1097
60,46.5,2.91,297,0.0835
59,46.5,2.85,288,0.0574
59,47.3,3.1,285,0.0555
61,48.2,3.61,273,0.0776
57,47.0,3.32,277,0.0998
53,44.8,3.27,293,0.1219
51,44.2,3.58,293,0.1441
59,46.4,3.77,302,0.1662
69,46.7,4.57,299,0.1884
71,46.6,5.17,311,0.2105
81,48.1,3.75,314,0.2327
87,49.0,3.4,298,0.2548
91,49.4,4.31,292,0.277
94,49.5,4.72,302,0.2991
96,49.3,4.85,302,0.3213
97,49.4,5.81,297,0.3434
96,49.5,6.04,297,0.3656
97,50.2,6.24,292,0.3877
98,50.1,6.74,285,0.4099
97,50.1,6.87,286,0.4325
89,49.3,6.49,295,0.4556
91,51.7,6.5,284,0.4788
85,52.1,6.21,285,0.5019
78,50.0,6.89,296,0.525
84,52.7,6.45,294,0.5481
75,51.8,6.42,288,0.5712
69,50.4,5.88,288,0.5477
64,50.1,5.75,283,0.4773
60,48.8,5.85,290,0.407
58,46.0,5.79,291,0.3367
55,44.3,6.39,290,0.2664
70,47.5,7.1,269,0.1961
78,48.2,7.1,268,0.1684
88,50.0,5.94,263,0.1834
91,50.2,6.21,273,0.1984
93,49.7,5.67,279,0.2134
94,49.4,6.02,275,0.2284
94,49.2,5.92,275,0.2434
96,49.8,5.28,280,0.2584
95,49.0,5.8,285,0.2734
95,49.3,5.14,277,0.2884
96,49.3,4.9,271,0.3034
97,48.6,5.42,275,0.3184
97,48.5,5.19,289,0.3385
94,48.4,5.82,305,0.3635
90,48.7,5.95,311,0.3885
86,49.2,5.28,331,0.4136
76,48.3,4.53,6,0.4386
85,52.8,4.65,19,0.4637
75,49.7,5.24,13,0.4887
81,51.2,5.48,21,0.5056
72,47.3,6.55,12,0.5143
57,42.5,6.12,5,0.523
56,41.4,6.32,5,0.5317
58,40.8,6.13,6,0.5404
62,41.3,5.24,13,0.5491
82,44.3,3.6,360,0.5435
78,43.3,4.61,30,0.5237
78,43.8,5.83,31,0.5038
81,43.9,5.07,22,0.4839
84,44.3,4.74,18,0.4641
86,44.1,4.3,25,0.4442
86,44.0,3.97,34,0.4244
87,43.9,3.41,32,0.4045
86,44.2,3.36,23,0.3847
86,44.3,2.84,10,0.3648
90,44.0,2.67,347,0.3449
90,43.7,3.4,332,0.3251
84,45.3,3.96,16,0.3052
76,46.5,2.89,14,0.2854
63,45.1,3.18,24,0.2655
57,43.8,4.3,31,0.2457
54,43.1,4.19,33,0.2258
54,43.1,4.14,37,0.2059
